nombre,tipo,telefono,direccion,municipio,departamento
ITBOY - DIST TTO No. 10/VILLA DE LEYVA,Organismos de Tránsito,87321386,CRA 9 N° 7 - 52 LOCAL 7 CC VILLA DE LEYVA PLAZA,VILLA DE LEYVA,BOYACÁ
ITBOY - DIST TTO No. 11/RAMIRIQUI,Organismos de Tránsito,7327031 -  0333107805944,TERMINAL DE TTE LOCAL 17,RAMIRIQUI,BOYACÁ
ITBOY - DIST TTO No. 2/ NOBSA,Organismos de Tránsito,87773019,CRA 10 CON CALLE 4 ESQUINA /B JERONIMO HOGUIN,NOBSA,BOYACÁ
ITBOY - DIST TTO No. 4/SABOYA,Organismos de Tránsito,7255439,CARRERA 9 NO. 6-58,SABOYA,BOYACÁ
ITBOY - DIST TTO No. 5/MONIQUIRA,Organismos de Tránsito,87282682,CALLE 20 NO 2-06 BARRIO EL CAMELL0N SECTOR COLISEO,MONIQUIRA,BOYACÁ
ITBOY - DIST TTO No. 6/GUATEQUE,Organismos de Tránsito,382795130,CALLE 10 - CARRERA 3 A ESQUINA,GUATEQUE,BOYACÁ
ITBOY - DIST TTO No. 7/SOATA,Organismos de Tránsito,87880082,CALLE 12 CON CRA 4 ESQUINA,SOATA,BOYACÁ
ITBOY - DIST TTO No. 9/MIRAFLORES,Organismos de Tránsito,87331794,CALLE 3 NO 5-17 BARRIO EL CAMELLON,MIRAFLORES,BOYACÁ
MUNICIPIO DE LA JAGUA DE IBIRICO,Organismos de Tránsito,5769375,CALLE 6 3A 23,LA JAGUA DE IBIRICO,CESAR
MUNICIPIO DE SANTA ROSA DEL SUR DE BOLIVAR,Organismos de Tránsito,5697448,CARRERA 12A Nº 11-26,SANTA ROSA,BOLÍVAR
MUNICIPIO DE YOTOCO,Organismos de Tránsito,,2523520,YOTOCO,VALLE DEL CAUCA
SDT SUBSECRETARÍA DE MOVILIDAD RIONEGRO,Organismos de Tránsito,5313505,CARRERA 47 NO 62-50,RIONEGRO,ANTIOQUIA
SECRETARIA DE  MOVILIDAD MUNICIPAL DE CHIA,Organismos de Tránsito,8638559,DIAGONAL 17 NO 6 -108,CHIA,CUNDINAMARCA
SECRETARÍA DE MOVILIDAD DE MANIZALES,Organismos de Tránsito,8879725,CARRERA 19 CALLE 21 - 02,MANIZALES,CALDAS
SECRETARIA DE MOVILIDAD DE NEIVA,Organismos de Tránsito,8716080,CARRERA 5 # 38-61 SUR,NEIVA,HUILA
SECRETARIA DE MOVILIDAD DE YARUMAL,Organismos de Tránsito,3207679693,CRA 22 N 20 16,YARUMAL,ANTIOQUIA
SECRETARIA DE MOVILIDAD DEL DEPARTAMENTO DE BOLIVAR,Organismos de Tránsito,0,VÍA LA CORDIALIDAD KILÓMETRO 2 EDS TERPEL EL MATORRAL,SANTA ROSA,BOLÍVAR
SECRETARÍA DE MOVILIDAD DEL MUNICIPIO DE MOSQUERA,Organismos de Tránsito,8295469,CALLE 6 # 17 - 03,MOSQUERA,CUNDINAMARCA
